epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,227.846,0.4031,0.39735,0.97647,0.99886,1,0.995,0.97031,0.39825,0.39698,0.90729,0.000486639,0.000486639,0.000486639
44,233.107,0.41627,0.39402,1.01569,0.99748,1,0.995,0.99038,0.27119,0.31335,0.80689,0.000478392,0.000478392,0.000478392
45,238.512,0.39942,0.36453,0.97841,0.9991,1,0.995,0.94876,0.31818,0.26109,0.82284,0.000470145,0.000470145,0.000470145
46,243.76,0.39722,0.38196,1.00239,0.99873,1,0.995,0.99397,0.28024,0.26776,0.80824,0.000461898,0.000461898,0.000461898
47,249.066,0.39827,0.40851,0.98846,0.99838,1,0.995,0.97742,0.29544,0.30739,0.81971,0.000453652,0.000453652,0.000453652
48,254.321,0.42821,0.41044,1.02144,0.9972,1,0.995,0.91752,0.45661,0.38258,0.84898,0.000445405,0.000445405,0.000445405
49,259.522,0.45043,0.4309,1.03922,0.99322,1,0.995,0.93205,0.31603,0.33699,0.81927,0.000437158,0.000437158,0.000437158
50,264.844,0.39725,0.35666,0.97931,0.99843,1,0.995,0.88907,0.34669,0.36855,0.84157,0.000428912,0.000428912,0.000428912
51,270.596,0.41744,0.37403,1.01411,0.9979,1,0.995,0.8474,0.40408,0.50664,0.8727,0.000420665,0.000420665,0.000420665
52,275.938,0.3737,0.36457,0.99586,0.99843,1,0.995,0.98491,0.2713,0.24983,0.81756,0.000412418,0.000412418,0.000412418
53,281.154,0.38275,0.37553,0.98543,0.99888,1,0.995,0.97852,0.28696,0.23433,0.81976,0.000404172,0.000404172,0.000404172
54,286.339,0.37641,0.38043,0.98598,0.9991,1,0.995,0.98785,0.25485,0.22612,0.80641,0.000395925,0.000395925,0.000395925
55,291.528,0.40344,0.33928,0.9668,0.99924,1,0.995,0.98802,0.25667,0.25499,0.79809,0.000387678,0.000387678,0.000387678
56,296.742,0.38714,0.3636,1.00044,0.99923,1,0.995,0.95056,0.31092,0.37641,0.84956,0.000379431,0.000379431,0.000379431
57,301.883,0.31779,0.31584,0.93812,0.99925,1,0.995,0.97491,0.30029,0.33938,0.8345,0.000371185,0.000371185,0.000371185
58,307.036,0.31319,0.30965,0.93968,0.99923,1,0.995,0.995,0.22996,0.2283,0.79687,0.000362938,0.000362938,0.000362938
59,312.302,0.32101,0.31171,0.93196,0.99551,1,0.995,0.995,0.20489,0.20189,0.7888,0.000354691,0.000354691,0.000354691
60,317.604,0.33886,0.32317,0.95622,0.96343,1,0.99473,0.98179,0.24031,0.42707,0.80776,0.000346445,0.000346445,0.000346445
61,322.776,0.34044,0.32034,0.96211,0.98322,1,0.995,0.995,0.22128,0.43468,0.80784,0.000338198,0.000338198,0.000338198
62,328.006,0.37668,0.37207,0.9727,0.99271,1,0.995,0.995,0.19736,0.38258,0.79929,0.000329951,0.000329951,0.000329951
63,333.227,0.32639,0.31335,0.95869,0.99541,1,0.995,0.99205,0.19145,0.28101,0.79464,0.000321705,0.000321705,0.000321705
64,338.422,0.32311,0.30412,0.97257,0.99919,1,0.995,0.99022,0.23642,0.21565,0.79839,0.000313458,0.000313458,0.000313458
65,343.581,0.30471,0.27555,0.92687,0.99923,1,0.995,0.995,0.23009,0.22166,0.79866,0.000305211,0.000305211,0.000305211
66,348.855,0.32547,0.2873,0.96318,0.99882,1,0.995,0.995,0.21136,0.23515,0.79653,0.000296964,0.000296964,0.000296964
67,354.589,0.29696,0.25361,0.92028,0.99834,1,0.995,0.995,0.2317,0.27211,0.80281,0.000288718,0.000288718,0.000288718
68,359.923,0.30075,0.27686,0.93998,0.99919,1,0.995,0.995,0.20779,0.21171,0.78636,0.000280471,0.000280471,0.000280471
69,365.188,0.30452,0.27511,0.92917,0.99923,1,0.995,0.995,0.21424,0.21011,0.78487,0.000272224,0.000272224,0.000272224
70,370.438,0.35941,0.34452,0.99689,0.99921,1,0.995,0.995,0.21093,0.21316,0.78166,0.000263978,0.000263978,0.000263978
71,375.673,0.26612,0.25664,0.91224,0.99923,1,0.995,0.995,0.20397,0.19991,0.77895,0.000255731,0.000255731,0.000255731
72,381.04,0.30221,0.29656,0.98178,0.99925,1,0.995,0.99104,0.18841,0.18811,0.77776,0.000247484,0.000247484,0.000247484
73,386.217,0.28607,0.28663,0.91607,0.99921,1,0.995,0.99301,0.17762,0.17481,0.77851,0.000239238,0.000239238,0.000239238
74,391.429,0.25523,0.2838,0.9456,0.99905,1,0.995,0.995,0.18151,0.16994,0.78013,0.000230991,0.000230991,0.000230991
75,396.724,0.2502,0.27033,0.90858,0.99884,1,0.995,0.995,0.18203,0.1719,0.78062,0.000222744,0.000222744,0.000222744
76,402.077,0.28513,0.27171,0.94288,0.99899,1,0.995,0.995,0.13623,0.16452,0.77274,0.000214497,0.000214497,0.000214497
77,407.483,0.27482,0.27697,0.9334,0.99897,1,0.995,0.995,0.12391,0.15354,0.76894,0.000206251,0.000206251,0.000206251
78,412.892,0.30352,0.3087,0.98003,0.99908,1,0.995,0.995,0.12708,0.13662,0.76963,0.000198004,0.000198004,0.000198004
79,418.251,0.25929,0.26302,0.92418,0.99919,1,0.995,0.995,0.12667,0.13307,0.76952,0.000189757,0.000189757,0.000189757
80,423.655,0.24855,0.23654,0.92712,0.99921,1,0.995,0.995,0.12923,0.13816,0.77056,0.000181511,0.000181511,0.000181511
81,428.951,0.25459,0.23475,0.92522,0.99921,1,0.995,0.995,0.13414,0.1448,0.76968,0.000173264,0.000173264,0.000173264
82,434.234,0.28232,0.275,0.93734,0.99921,1,0.995,0.995,0.11442,0.14294,0.76597,0.000165017,0.000165017,0.000165017
83,439.494,0.23923,0.23524,0.9106,0.99919,1,0.995,0.995,0.10773,0.15004,0.76539,0.000156771,0.000156771,0.000156771
84,444.965,0.26742,0.23436,0.90795,0.99917,1,0.995,0.995,0.13199,0.1589,0.7672,0.000148524,0.000148524,0.000148524
85,450.343,0.25489,0.2365,0.93795,0.9992,1,0.995,0.995,0.11222,0.13829,0.76444,0.000140277,0.000140277,0.000140277
86,455.693,0.27978,0.26536,0.93761,0.99922,1,0.995,0.995,0.11929,0.12983,0.76597,0.000132031,0.000132031,0.000132031
87,461.391,0.26315,0.258,0.91471,0.99924,1,0.995,0.995,0.13452,0.13167,0.7682,0.000123784,0.000123784,0.000123784
88,466.754,0.23004,0.25653,0.91117,0.99926,1,0.995,0.995,0.11496,0.12837,0.7647,0.000115537,0.000115537,0.000115537
89,472.048,0.22279,0.21009,0.8801,0.99926,1,0.995,0.995,0.11531,0.12459,0.76277,0.00010729,0.00010729,0.00010729
90,477.367,0.21307,0.20742,0.90238,0.99927,1,0.995,0.995,0.11773,0.12348,0.76252,9.90437e-05,9.90437e-05,9.90437e-05
91,484.718,0.14463,0.15309,0.80602,0.99926,1,0.995,0.995,0.09981,0.11162,0.7616,9.0797e-05,9.0797e-05,9.0797e-05
92,490.267,0.1298,0.15151,0.8158,0.99927,1,0.995,0.995,0.09132,0.09932,0.76336,8.25503e-05,8.25503e-05,8.25503e-05
93,495.828,0.12529,0.14794,0.82372,0.99927,1,0.995,0.995,0.10131,0.1115,0.76544,7.43036e-05,7.43036e-05,7.43036e-05
94,501.304,0.12626,0.14165,0.82823,0.99928,1,0.995,0.995,0.11088,0.11668,0.76736,6.60569e-05,6.60569e-05,6.60569e-05
95,506.946,0.12692,0.14999,0.80375,0.99928,1,0.995,0.995,0.10826,0.12075,0.7674,5.78102e-05,5.78102e-05,5.78102e-05
96,512.626,0.12928,0.13439,0.83441,0.99928,1,0.995,0.995,0.08518,0.11555,0.76365,4.95635e-05,4.95635e-05,4.95635e-05
97,518.157,0.10921,0.12708,0.81557,0.99928,1,0.995,0.995,0.07775,0.10831,0.76389,4.13168e-05,4.13168e-05,4.13168e-05
98,523.753,0.11274,0.13881,0.82318,0.99929,1,0.995,0.995,0.07621,0.10655,0.76409,3.30701e-05,3.30701e-05,3.30701e-05
99,529.813,0.10143,0.1255,0.81658,0.99929,1,0.995,0.995,0.07805,0.10913,0.7639,2.48234e-05,2.48234e-05,2.48234e-05
100,535.425,0.1071,0.12961,0.7839,0.99929,1,0.995,0.995,0.07815,0.10553,0.76362,1.65767e-05,1.65767e-05,1.65767e-05
