epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,239.912,0.51618,0.92283,0.9705,0.67434,0.96373,0.84909,0.79442,0.34908,1.47189,0.87642,0.000494885,0.000494885,0.000494885
43,245.503,0.4629,1.05009,0.93682,0.6604,0.95833,0.78861,0.7473,0.34379,4.00751,0.85821,0.000486639,0.000486639,0.000486639
44,251.145,0.45364,0.97262,0.95365,0.65025,0.98833,0.73348,0.68358,0.37887,5.07496,0.85506,0.000478392,0.000478392,0.000478392
45,256.967,0.40577,0.9307,0.90938,0.6425,0.98611,0.81069,0.757,0.33775,2.57879,0.83427,0.000470145,0.000470145,0.000470145
46,262.451,0.46205,0.92104,0.97382,0.82779,0.875,0.85078,0.81151,0.26491,0.80688,0.82344,0.000461898,0.000461898,0.000461898
47,267.974,0.42609,0.92219,0.93947,0.8023,0.86111,0.83892,0.82695,0.26105,0.59974,0.81175,0.000453652,0.000453652,0.000453652
48,273.544,0.43035,0.97254,0.94129,0.80804,1,0.89439,0.87511,0.21457,0.43157,0.787,0.000445405,0.000445405,0.000445405
49,279.601,0.46498,0.96273,0.9762,0.78636,0.97386,0.89084,0.88621,0.20667,0.46476,0.79129,0.000437158,0.000437158,0.000437158
50,285.188,0.39728,0.85441,0.91822,0.73766,0.95253,0.88759,0.88347,0.20337,0.57103,0.78768,0.000428912,0.000428912,0.000428912
51,290.628,0.42055,1.04151,0.94599,0.55189,0.79706,0.72626,0.72626,0.18442,2.0564,0.77231,0.000420665,0.000420665,0.000420665
52,296.191,0.42271,0.95711,0.9374,0.68313,0.96188,0.89296,0.89037,0.22124,0.77331,0.79182,0.000412418,0.000412418,0.000412418
53,302.408,0.40703,0.85551,0.91718,0.73136,0.97775,0.88827,0.86998,0.26201,0.60434,0.80693,0.000404172,0.000404172,0.000404172
54,307.977,0.40637,0.97351,0.92005,0.82264,0.99527,0.88015,0.8781,0.21184,0.4099,0.78804,0.000395925,0.000395925,0.000395925
55,313.551,0.40097,0.84557,0.90007,0.81038,0.98611,0.887,0.881,0.20654,0.39578,0.78568,0.000387678,0.000387678,0.000387678
56,319.219,0.38119,0.81751,0.91185,0.74198,0.94053,0.88172,0.88172,0.19133,0.60994,0.78035,0.000379431,0.000379431,0.000379431
57,325.184,0.35966,0.8093,0.88978,0.73723,0.97299,0.88883,0.88693,0.21271,0.5445,0.78834,0.000371185,0.000371185,0.000371185
58,330.722,0.37395,0.84124,0.89193,0.75982,1,0.8935,0.88944,0.22215,0.4484,0.78816,0.000362938,0.000362938,0.000362938
59,336.125,0.3644,0.79438,0.88383,0.77441,0.97701,0.891,0.891,0.19342,0.38267,0.77893,0.000354691,0.000354691,0.000354691
60,341.77,0.36349,0.88135,0.93883,0.82564,1,0.89347,0.89347,0.19125,0.33869,0.78216,0.000346445,0.000346445,0.000346445
61,347.713,0.35531,0.84751,0.91078,0.82663,1,0.8983,0.8983,0.19754,0.33382,0.78306,0.000338198,0.000338198,0.000338198
62,353.202,0.38931,0.85463,0.89937,0.82358,1,0.88551,0.88551,0.19198,0.32037,0.78293,0.000329951,0.000329951,0.000329951
63,358.707,0.37258,0.72952,0.9184,0.82104,1,0.8915,0.8915,0.18988,0.30786,0.78453,0.000321705,0.000321705,0.000321705
64,364.162,0.36112,0.83564,0.91751,0.81725,1,0.89881,0.89881,0.20497,0.33112,0.79046,0.000313458,0.000313458,0.000313458
65,370.169,0.34095,0.76953,0.88937,0.81767,1,0.89578,0.88902,0.25079,0.3466,0.79503,0.000305211,0.000305211,0.000305211
66,375.748,0.33305,0.7563,0.90522,0.81644,1,0.89696,0.89696,0.21487,0.32561,0.78562,0.000296964,0.000296964,0.000296964
67,381.235,0.30502,0.72386,0.86682,0.8144,1,0.89124,0.88965,0.2323,0.32526,0.78851,0.000288718,0.000288718,0.000288718
68,386.873,0.31249,0.69071,0.89453,0.81753,1,0.88918,0.88918,0.19193,0.321,0.77768,0.000280471,0.000280471,0.000280471
69,392.896,0.34052,0.75774,0.91016,0.83051,0.99378,0.90138,0.90138,0.16855,0.31658,0.77461,0.000272224,0.000272224,0.000272224
70,398.78,0.38675,0.77569,0.93688,0.83394,0.99121,0.89723,0.89723,0.16156,0.3107,0.774,0.000263978,0.000263978,0.000263978
71,404.316,0.32313,0.7311,0.88975,0.83647,0.99935,0.89256,0.89034,0.19368,0.30851,0.78099,0.000255731,0.000255731,0.000255731
72,410.346,0.33711,0.85189,0.91868,0.82905,1,0.88822,0.88822,0.17122,0.29373,0.7759,0.000247484,0.000247484,0.000247484
73,416.083,0.33469,0.75001,0.91869,0.82439,1,0.89413,0.89413,0.17114,0.29179,0.77516,0.000239238,0.000239238,0.000239238
74,421.804,0.28945,0.73139,0.8725,0.82311,1,0.88991,0.88991,0.17092,0.29618,0.77598,0.000230991,0.000230991,0.000230991
75,427.504,0.2895,0.64122,0.86749,0.82177,1,0.89039,0.89039,0.14642,0.28556,0.77131,0.000222744,0.000222744,0.000222744
76,433.653,0.32099,0.67579,0.92159,0.81645,1,0.88614,0.88614,0.1402,0.27155,0.76559,0.000214497,0.000214497,0.000214497
77,439.267,0.32765,0.70518,0.92948,0.81593,1,0.88651,0.88651,0.12861,0.27326,0.7658,0.000206251,0.000206251,0.000206251
78,444.8,0.30447,0.83989,0.92502,0.81672,1,0.88362,0.88362,0.1348,0.28787,0.76808,0.000198004,0.000198004,0.000198004
79,450.569,0.30176,0.67858,0.8538,0.81887,1,0.87698,0.87507,0.15734,0.30005,0.7694,0.000189757,0.000189757,0.000189757
80,456.574,0.2854,0.64732,0.87971,0.82393,1,0.89115,0.89115,0.14055,0.27867,0.76942,0.000181511,0.000181511,0.000181511
81,462.146,0.2802,0.67134,0.89433,0.82756,1,0.88787,0.88787,0.15223,0.28028,0.76981,0.000173264,0.000173264,0.000173264
82,467.745,0.30071,0.68617,0.88956,0.83123,1,0.89224,0.89224,0.18283,0.2942,0.77283,0.000165017,0.000165017,0.000165017
83,473.269,0.28352,0.69123,0.86154,0.82985,1,0.89964,0.89964,0.18074,0.28878,0.77256,0.000156771,0.000156771,0.000156771
84,479.405,0.28946,0.61633,0.88655,0.82867,1,0.89157,0.89157,0.102,0.25416,0.76331,0.000148524,0.000148524,0.000148524
